school_id,school,address,city,state,zip,level,year,short_year,latitude,longitude,black,hispanic,white,other
80612,ARTHUR MIDDLETON ELEMENTARY SCHOOL,1109 Copley Avenue,Waldorf,MD,20602,E,2002-2003,02-03,38.6025938,-76.921812,259,30,224,25
80613,BENJAMIN STODDERT MIDDLE SCHOOL,2040 St. Thomas Drive,Waldorf,MD,20602,M,2002-2003,02-03,38.6015661,-76.8975434,393,20,352,25
80622,BERRY ELEMENTARY SCHOOL,10155 Berry Road,Waldorf,MD,20603,E,2002-2003,02-03,38.647895,-76.9595649,358,24,388,56
80620,C. PAUL BARNHART ELEMENTARY SCHOOL,4800 Lancaster Circle,Waldorf,MD,20603,E,2002-2003,02-03,38.6244091,-76.9372322,405,27,242,27
80617,DANIEL OF ST. THOMAS JENIFER ELEMENTARY SCHOOL,2820 Jenifer School Lane,Waldorf,MD,20603,E,2002-2003,02-03,38.633889,-76.9276741,306,22,266,36
80611,DR. GUSTAVUS BROWN ELEMENTARY,421 University Drive,Waldorf,MD,20602,E,2002-2003,02-03,38.5947414,-76.9194692,261,23,239,15
80609,DR. JAMES CRAIK ELEMENTARY SCHOOL,7725 Marshall Corner Road,Pomfret,MD,20675,E,2002-2003,02-03,38.5690967,-77.0302076,99,2,295,11
80604,DR. SAMUEL A. MUDD ELEMENTARY SCHOOL,820 Stone Avenue,Waldorf,MD,20602,E,2002-2003,02-03,38.6081746,-76.9102497,251,12,155,19
80501,DR. THOMAS L. HIGDON ELEMENTARY,12872 Rock Point Road,Newburg,MD,20664,E,2002-2003,02-03,38.3595146,-76.9405281,90,2,295,5
80616,EVA TURNER ELEMENTARY SCHOOL,1000 Bannister Circle,Waldorf,MD,20602,E,2002-2003,02-03,38.5951194,-76.9035827,295,18,139,11
81001,GALE-BAILEY ELEMENTARY SCHOOL,4740 Pisgah-Marbury Road,Marbury,MD,20658,E,2002-2003,02-03,38.5609531,-77.1505342,134,7,249,3
80705,GENERAL SMALLWOOD MIDDLE SCHOOL,4990 Indian Head Highway,Indian Head,MD,20640,M,2002-2003,02-03,38.6028131,-77.1341113,362,11,311,21
81002,HENRY E. LACKEY HIGH SCHOOL,3000 Chicamuxen Road,Indian Head,MD,20640,H,2002-2003,02-03,38.5794444,-77.1276389,645,30,693,38
80710,INDIAN HEAD ELEMENTARY SCHOOL,4200 Indian Head Highway,Indian Head,MD,20640,E,2002-2003,02-03,38.6005716,-77.1663546,244,15,235,22
80703,J. C. PARKS ELEMENTARY SCHOOL,3505 Livingston Road,Indian Head,MD,20640,E,2002-2003,02-03,38.6148405,-77.074977,466,14,406,36
80608,JOHN HANSON MIDDLE SCHOOL,3165 John Hanson Drive,Waldorf,MD,20601,M,2002-2003,02-03,38.6242651,-76.8882182,396,16,592,43
80606,J. P. RYON ELEMENTARY SCHOOL,12140 Vivian Adams Drive,Waldorf,MD,20601,E,2002-2003,02-03,38.6222194,-76.8892106,304,25,323,22
80106,LA PLATA SCHOOL,6035 Radio Station Road,La Plata,MD,20646,H,2002-2003,02-03,38.5462317,-76.9502506,346,16,1091,45
80902,MALCOLM ELEMENTARY SCHOOL,14760 Poplar Hill Road,Waldorf,MD,20601,E,2002-2003,02-03,38.6167858,-76.7974684,153,0,383,19
80109,MARY MATULA ELEMENTARY SCHOOL,6025 Radio Station Road,La Plata,MD,20646,E,2002-2003,02-03,38.5483416,-76.9560313,206,7,372,18
80621,MATTAWOMAN MIDDLE SCHOOL,10145 Berry Road,Waldorf,MD,20603,M,2002-2003,02-03,38.64663,-76.96077,596,24,393,45
80701,MATTHEW HENSON MIDDLE SCHOOL,3535 Livingston Road,Indian Head,MD,20640,M,2002-2003,02-03,38.6140072,-77.0769214,296,17,511,27
80108,MAURICE J. MCDONOUGH HIGH SCHOOL,7165 Marshall Corner Road,Pomfret,MD,20675,H,2002-2003,02-03,38.5557,-77.035146,509,33,798,49
80104,MILTON M. SOMERS MIDDLE SCHOOL,300 Willow Lane,La Plata,MD,20646,M,2002-2003,02-03,38.523887,-76.972715,323,13,690,29
80302,MT HOPE/NANJEMOY ELEMENTARY SCHOOL,9275 Ironsides Road,Nanjemoy,MD,20662,E,2002-2003,02-03,38.4581783,-77.1805341,149,1,158,4
80503,PICCOWAXEN MIDDLE SCHOOL,12834 Rock Point Road,Newburg,MD,20664,M,2002-2003,02-03,38.3617928,-76.9413607,83,2,410,9
80708,ROBERT D. STETHEM EDUCATIONAL CENTER,7775 Marshall Corner Road,Pomfret,MD,20675,O,2002-2003,02-03,38.5703181,-77.0291001,10,0,5,0
80801,T. C. MARTIN ELEMENTARY SCHOOL,6315 Olivers Shop Road,Bryantown,MD,20617,E,2002-2003,02-03,38.5393903,-76.842783,100,8,429,11
80605,THOMAS STONE HIGH SCHOOL,3785 Leonardtown Road,Waldorf,MD,20601,H,2002-2003,02-03,38.6148411,-76.8869156,644,49,1139,73
80105,WALTER J. MITCHELL ELEMENTARY,400 Willow Lane,La Plata,MD,20646,E,2002-2003,02-03,38.5194643,-76.9694544,125,14,539,14
80619,WESTLAKE HIGH SCHOOL,3300 Middletown Road,Waldorf,MD,20603,H,2002-2003,02-03,38.6237294,-76.9669182,669,62,791,75
80618,WILLIAM B. WADE ELEMENTARY SCHOOL,2300 Smallwood Drive West,Waldorf,MD,20603,E,2002-2003,02-03,38.6179674,-76.9467827,250,24,515,38
80612,ARTHUR MIDDLETON ELEMENTARY SCHOOL,1109 Copley Avenue,Waldorf,MD,20602,E,2003-2004,03-04,38.6025938,-76.921812,273,36,248,24
80613,BENJAMIN STODDERT MIDDLE SCHOOL,2040 St. Thomas Drive,Waldorf,MD,20602,M,2003-2004,03-04,38.6015661,-76.8975434,439,24,333,29
80622,BERRY ELEMENTARY SCHOOL,10155 Berry Road,Waldorf,MD,20603,E,2003-2004,03-04,38.647895,-76.9595649,384,22,366,72
80620,C. PAUL BARNHART ELEMENTARY SCHOOL,4800 Lancaster Circle,Waldorf,MD,20603,E,2003-2004,03-04,38.6244091,-76.9372322,420,37,232,32
80617,DANIEL OF ST. THOMAS JENIFER ELEMENTARY SCHOOL,2820 Jenifer School Lane,Waldorf,MD,20603,E,2003-2004,03-04,38.633889,-76.9276741,395,24,225,41
80611,DR. GUSTAVUS BROWN ELEMENTARY,421 University Drive,Waldorf,MD,20602,E,2003-2004,03-04,38.5947414,-76.9194692,278,30,205,11
80609,DR. JAMES CRAIK ELEMENTARY SCHOOL,7725 Marshall Corner Road,Pomfret,MD,20675,E,2003-2004,03-04,38.5690967,-77.0302076,93,4,313,13
80604,DR. SAMUEL A. MUDD ELEMENTARY SCHOOL,820 Stone Avenue,Waldorf,MD,20602,E,2003-2004,03-04,38.6081746,-76.9102497,254,25,140,16
80501,DR. THOMAS L. HIGDON ELEMENTARY,12872 Rock Point Road,Newburg,MD,20664,E,2003-2004,03-04,38.3595146,-76.9405281,66,2,317,9
80616,EVA TURNER ELEMENTARY SCHOOL,1000 Bannister Circle,Waldorf,MD,20602,E,2003-2004,03-04,38.5951194,-76.9035827,330,27,138,9
81001,GALE-BAILEY ELEMENTARY SCHOOL,4740 Pisgah-Marbury Road,Marbury,MD,20658,E,2003-2004,03-04,38.5609531,-77.1505342,142,6,267,2
80705,GENERAL SMALLWOOD MIDDLE SCHOOL,4990 Indian Head Highway,Indian Head,MD,20640,M,2003-2004,03-04,38.6028131,-77.1341113,343,9,313,18
81002,HENRY E. LACKEY HIGH SCHOOL,3000 Chicamuxen Road,Indian Head,MD,20640,H,2003-2004,03-04,38.5794444,-77.1276389,713,34,721,41
